userID	endDate	COALESCE(feature82,0)	COALESCE(feature98,0)
27600	2012-12-12	2	1
27600	2012-12-18	11	1
27600	2012-12-25	2	1
27700	2012-12-04	4	1
27700	2012-12-06	15	1
27700	2012-12-10	46	1
27700	2012-12-12	52	1
27700	2012-12-13	47	1
27700	2012-12-17	66	1
27700	2012-12-18	4	1
27700	2012-12-19	9	1
27700	2012-12-20	18	1
27800	2012-12-06	14	1
27800	2012-12-25	9	1
28100	2012-12-04	16	1
28100	2012-12-05	49	1
28100	2012-12-06	37	1
28100	2012-12-07	5	1
28100	2012-12-08	12	1
28100	2012-12-10	19	1
28100	2012-12-11	17	1
28100	2012-12-13	78	1
28100	2012-12-15	2	1
28100	2012-12-16	28	1
28100	2012-12-17	14	2
28100	2012-12-20	2	1
28200	2012-12-04	4	1
28200	2012-12-06	17	1
28300	2012-12-12	39	1
28300	2012-12-13	51	1
28300	2012-12-14	35	1
28300	2012-12-17	12	1
28300	2012-12-19	32	1
28600	2012-12-17	5	1
28600	2012-12-18	33	1
28600	2012-12-19	7	1
28600	2012-12-20	6	1
28600	2012-12-21	33	1
28700	2012-12-03	19	1
28700	2012-12-04	20	1
28700	2012-12-05	26	1
28700	2012-12-06	37	1
28700	2012-12-07	39	1
28700	2012-12-10	36	1
28700	2012-12-11	9	1
